model_name,epochs,imgsz,split,map50_95,map50,map75,precision_mean,recall_mean,fps
yolov8n,50,640,test,0.5538162129253423,0.9092811376866727,0.5229210284567869,0.8890143809127418,0.8714285714285714,11.736071249460188
yolov8s,50,640,test,0.5862136534354326,0.9691044236987006,0.552371343828246,0.9271767395959123,0.9091816024877328,6.162792936301765
